joueur,club_depart,club_arrivee,montant,date_transfert,type_transfert
Dominic Sadi,Bournemouth,Novi Pazar,0,2026-04-17T08:03:40Z,contract
Héctor Arango,Aguilas Doradas,Orsomarso Sportivo Clube,0,2026-04-15T10:19:18Z,contract
Andrés Salazar,Atletico Nacional,FK Riga,0,2026-04-14T10:52:50Z,contract
Matthew Britton,Shamrock Rovers,Kerry,0,2026-04-14T09:53:19Z,on loan
Alexander Smith,Rangers,Dumbarton,0,2026-04-13T10:49:56Z,on loan
Andrej Kadlec,Mlada Boleslav,Nitra,0,2026-04-13T06:28:48Z,contract
Cristian Ludueña,Talleres,9 de Julio Rafaela,0,2026-04-13T04:50:11Z,contract
Alexis Mancilla,Deportes Concepcion,Arturo Fernández Vial,0,2026-04-12T09:00:52Z,contract
Jamie Sneddon,Falkirk,Queen of the South,0,2026-04-12T08:32:13Z,on loan
Stian Sjøvold Thorstensen,Vålerenga,Ranheim,0,2026-04-12T08:26:43Z,on loan
Srdjan Mijailovic,Al-Wasl,Cukaricki,0,2026-04-12T07:24:27Z,contract
Peder Hoel Lervik,Molde,Åsane,0,2026-04-12T07:14:45Z,on loan
Joyeux Bungi,RB Leipzig,NY Red Bulls,0,2026-04-12T00:59:38Z,on loan
Andrea Sodero,Empoli,Pianese,0,2026-04-11T11:06:39Z,on loan
Luciano Arnijas,Union La Calera,Deportivo Maipu,0,2026-04-11T04:21:21Z,on loan
Kobe Corbanie,Royal Antwerp,KV Mechelen,0,2026-04-10T06:24:08Z,contract
Simone Giorgeschi,Spezia,Alcione,0,2026-04-10T05:43:01Z,on loan
Patryk Kusztal,Zagłębie Lubin,Warta Poznań,0,2026-04-10T04:38:32Z,on loan
Berkant Bayrak,HB Køge,Sønderjyske,0,2026-04-10T02:47:25Z,contract
Konstantin Shiltsov,Neftekhimik,Baltika,0,2026-04-10T02:29:34Z,contract
Dagats Worko,Hapoel Ramat Gan,Beitar Jerusalem,0,2026-04-10T00:33:40Z,contract
Tobias Weigel,FC Heidenheim,Frankfurt,0,2026-04-10T00:04:55Z,contract
Felix Vogler,Magdeburg,SC Verl,0,2026-04-10T00:01:44Z,contract
Timur Gayret,SC Verl,Paderborn,0,2026-04-09T23:56:35Z,contract
Bruny Nsimba,FCV Dender EH,Standard Liege,0,2026-04-09T22:11:15Z,contract
David von Ballmoos,Young Boys,Lugano,0,2026-04-09T22:04:49Z,contract
Finley Barbrook,Ipswich,Colchester,0,2026-04-08T05:07:21Z,on loan
Miguel Trauco,Free agent,Sport Boys,0,2026-04-07T11:10:32Z,contract
Carlos Zambrano,Free agent,Sport Boys,0,2026-04-07T10:57:36Z,contract
Yordan Osorio,Free agent,Tolima,0,2026-04-06T09:09:35Z,contract
Lutfi Dalipi,Young Boys,Wil,0,2026-04-06T08:42:42Z,on loan
Nicolás Caro Torres,Deportivo Riestra,Club Atlético Estudiantes,0,2026-04-06T08:34:41Z,on loan
Miquéias,Bahia,Kaisar Kyzylorda,0,2026-04-06T08:24:18Z,contract
Jesse Randall,Auckland FC,Dundee United,0,2026-04-05T11:56:04Z,contract
Mads Myklebust,Molde,Strømsgodset,0,2026-04-04T20:04:31Z,on loan
Patrick Metcalfe,Free agent,HamKam,0,2026-04-04T20:03:02Z,contract
Nicholas Gioacchini,Asteras Tripolis,Free agent,0,2026-04-04T11:34:16Z,contract
Rabbi Matondo,Rangers,Brann,0,2026-04-03T21:48:13Z,contract
Elvis Bwomono,IBV Vestmannaeyjar,Aberdeen,0,2026-04-03T21:42:51Z,contract
Lucas Pérez,Free agent,Cadiz,0,2026-04-03T09:44:50Z,contract
Didier La Torre,Fujieda MYFC,Cienciano,0,2026-04-03T00:36:53Z,contract
Anderson,Atletico GO,Chapecoense AF,0,2026-04-02T23:25:41Z,contract
Marley Aké,Yverdon,Zulte Waregem,0,2026-04-02T19:47:11Z,contract
David de Ornelas,HamKam,Raufoss,0,2026-04-02T18:38:07Z,on loan
Mame Alassane Niang,Lyn,HamKam,0,2026-04-01T12:54:57Z,on loan
Jonas Enkerud,Free agent,HamKam,0,2026-04-01T12:50:39Z,contract
Niklas Sandberg,Sarpsborg 08,FK Haugesund,0,2026-04-01T12:47:30Z,contract
Isak Hagen Aalberg,Kristiansund,Mjøndalen,0,2026-04-01T12:45:53Z,on loan
Jørgen Bøe,Aalesund,Træff,0,2026-03-31T22:46:06Z,on loan
Erik Frøysa,Aalesund,Raufoss,0,2026-03-31T22:44:54Z,on loan
Mathias Klausen,Brann,Sandviken,0,2026-03-31T20:28:47Z,on loan
Nikolai Skuseth,Sarpsborg 08,Kristiansund,0,2026-03-31T20:27:21Z,on loan
Ruben Kristensen Alte,Viking,Sandefjord,0,2026-03-31T20:25:59Z,on loan
Jacob Hanstad,Sandefjord,Stabæk,100000,2026-03-31T20:24:53Z,contract
Odin Thiago Holm,Celtic,Vålerenga,0,2026-03-31T20:23:18Z,on loan
Tobías Ramírez,Argentinos Juniors,River Plate,4300000,2026-03-31T17:28:54Z,contract
Ola Brynhildsen,FC Midtjylland,Bodø/Glimt,2000000,2026-03-31T16:12:31Z,contract
Andrej Kostic,Partizan Beograd,Milan,3500000,2026-03-31T15:31:10Z,contract
Jonathan Vonheim Norbye,RB Leipzig,Fredrikstad,0,2026-03-31T12:54:45Z,on loan
Chris-Kévin Nadje,Feyenoord,Monterey Bay FC,0,2026-03-31T11:35:34Z,on loan
Cristián Alarcón,Colo Colo,Atlético Colina,0,2026-03-31T11:18:58Z,on loan
Gustav Højbjerg,B 93,Sandefjord,0,2026-03-31T09:05:33Z,contract
Benjamin Mosquera,Coquimbo Unido,Deportivo Miramar,0,2026-03-31T06:42:18Z,contract
Alejo Valenzuela,Defensa y Justicia,Excursionistas,0,2026-03-31T04:29:57Z,on loan
Kristian Eriksen,Molde,Brann,650000,2026-03-30T23:35:59Z,contract
Deni Dashaev,Start,Strømmen,0,2026-03-30T20:08:44Z,on loan
Martín Satriano,Lyon,Getafe,6500000,2026-03-30T18:38:13Z,contract
Cheikh Mbacke Diop,NK Lokomotiva,Brann,2500000,2026-03-30T18:09:04Z,contract
Marwan Aubert,Servette,Stade Nyonnais,0,2026-03-30T18:03:19Z,on loan
Laurens Serpe,Spezia,Forte Virtus,0,2026-03-30T13:07:58Z,contract
Daishawn Redan,Avellino,Free agent,0,2026-03-30T11:54:24Z,contract
Axel Cerda,Universidad Catolica,Concón National,0,2026-03-30T09:47:35Z,on loan
Alfie Massey,Millwall,Southend,0,2026-03-30T07:02:56Z,on loan
Kalipha Jawla,Djurgården,Nordic United FC,0,2026-03-29T15:36:27Z,on loan
Wesley Santos,Mirassol,Noroeste,0,2026-03-29T11:02:51Z,on loan
Artur,Botafogo RJ,Sao Paulo,0,2026-03-29T09:02:51Z,on loan
Toki Hirosawa,Jagiellonia Bialystok,KKS Kalisz,0,2026-03-29T07:19:08Z,on loan
Tiago Benzi,Belgrano,Sarmiento Etruria,0,2026-03-29T06:36:40Z,on loan
Marcos Zambrano,Salt Lake,New England,0,2026-03-28T17:22:29Z,on loan
Georgi Minoungou,Seattle Sounders,Colorado,0,2026-03-28T17:21:30Z,contract
Kosi Thompson,Toronto,Colorado,0,2026-03-28T17:20:37Z,contract
Julián Bazán,Deportivo Pereira,NY Red Bulls,0,2026-03-28T17:19:14Z,contract
Adam Pearlman,Toronto,Cavalry FC,0,2026-03-28T17:17:13Z,on loan
Ascel Essengue,LA Galaxy,Free agent,0,2026-03-28T17:15:35Z,on loan
Anthony Oliveira,Goias,Botafogo RJ,0,2026-03-28T11:29:39Z,contract
James Ampofo,Strømsgodset,Start,0,2026-03-28T09:46:12Z,on loan
Matheus,Tombense Futebol Clube,Chapecoense AF,0,2026-03-28T09:44:53Z,on loan
Renê,Portuguesa,Vitoria,0,2026-03-28T09:39:47Z,on loan
Pedro Perotti,Chapecoense AF,Sport Recife,0,2026-03-28T09:36:43Z,on loan
Jhonny,Fluminense,America MG,0,2026-03-28T09:35:05Z,on loan
David Braga,Athletic Club,Remo,0,2026-03-28T09:33:42Z,contract
Mayk,Gremio,Remo,0,2026-03-28T09:30:09Z,contract
Sávio,Remo,Free agent,0,2026-03-28T09:28:30Z,contract
Léo Vieira,Chapecoense AF,Bahia,0,2026-03-28T09:26:25Z,contract
Gustavo Alves,Internacional,Ceara,0,2026-03-28T09:22:36Z,on loan
Sigurd Prestmo,Tromsø,Moss,0,2026-03-28T08:05:49Z,on loan
Sean McHale,St. Patrick's Athletic,Sligo Rovers,0,2026-03-28T05:32:43Z,on loan
Klaus,Remo,Operario Ferroviario,0,2026-03-28T05:19:25Z,contract
Samuel Safaei,Dundalk,Harland &amp; Wolff Welders F.C.,0,2026-03-28T04:07:11Z,on loan
Kevin Ramírez,Atletico GO,Chapecoense AF,0,2026-03-28T03:35:35Z,on loan
Samuel Obinaiia,Metalist Kharkiv,Jablonec,0,2026-03-28T03:32:42Z,on loan
Felipe Guimarães,Coritiba,Atletico GO,0,2026-03-28T02:05:41Z,on loan
Nathan Redmond,Sheff Wed,Blackburn,0,2026-03-27T20:11:17Z,contract
Santiago Moreno,Fluminense,Dallas,0,2026-03-27T20:03:09Z,on loan
Marius Nordal,Start,Åsane,0,2026-03-27T20:01:31Z,on loan
Abdelrahman Boudah,Albirex Niigata,Västerås SK,0,2026-03-27T12:41:01Z,on loan
Severin Nioule,Häcken,Varbergs BoIS FC,0,2026-03-27T12:30:40Z,on loan
Alejo Antilef,All Boys,Alianza Atletico,0,2026-03-27T11:32:53Z,contract
Sergio Quiroga,Sarmiento,Alianza Atletico,0,2026-03-27T11:31:44Z,on loan
Ephraim Yeboah,Bristol City,Ashton United,0,2026-03-27T11:30:22Z,on loan
João Basso,Santos FC,Cuiaba,0,2026-03-27T11:27:20Z,contract
Habraão,Athletico Paranaense,Sport Recife,0,2026-03-27T11:25:34Z,on loan
Kerim Alajbegovic,Salzburg,Leverkusen,8000000,2026-03-27T11:19:09Z,contract
Rodrigo Duarte,Vitoria de Guimaraes,Pacos de Ferreira,0,2026-03-27T09:51:55Z,on loan
Robert Geller,Karlsruher SC,Homburg,0,2026-03-27T09:07:07Z,contract
Tori Riyon,Orlando,Miami FC,0,2026-03-27T08:56:10Z,contract
Pablo Ramírez,Club Atletico Platense,9 de Julio Rafaela,0,2026-03-27T05:36:52Z,contract
Adam Stroud,Brommapojkarna,IFK Mariehamn,0,2026-03-26T20:09:11Z,on loan
Liiban Abdirahman Abadid,Västerås SK,Nordic United FC,0,2026-03-26T20:08:03Z,on loan
Dominik Holec,Banik Ostrava,Piast Gliwice,0,2026-03-26T14:40:07Z,contract
Oscar Sjöstrand,Cambuur,Malmö FF,2000000,2026-03-26T11:48:35Z,contract
Oskar Jarde,Brommapojkarna,FC Stockholm,0,2026-03-26T11:45:31Z,on loan
Emmanuel Gono,AIK,IK Oddevold,0,2026-03-26T11:43:26Z,on loan
Momoh Kamara,Minnesota,Elfsborg,0,2026-03-26T11:42:36Z,on loan
Charlie Nildén,Brommapojkarna,Sirius,0,2026-03-26T11:39:43Z,contract
Elias Hagen,Vålerenga,Aalesund,0,2026-03-26T11:15:29Z,on loan
