player_id,team_name,player_name,nationality,position,age
895576,Bournemouth,Marcus Tavernier,England,M,
855731,Bournemouth,David Brooks,Wales,M,
322391,Bournemouth,Ryan Christie,Scotland,M,
548188,Bournemouth,Lewis Cook,England,M,
830659,Bournemouth,Marcos Senesi,Argentina,D,
1201520,Bournemouth,Julio Soler,Argentina,D,
1184308,Bournemouth,Álex Jiménez,Spain,D,
1406130,Bournemouth,Veljko Milosavljević,Serbia,D,
962408,Bournemouth,Bafodé Diakité,France,D,
999028,Bournemouth,Adrien Truffert,France,D,
1156586,Bournemouth,James Hill,England,D,
44566,Bournemouth,Adam Smith,England,D,
1190712,Bournemouth,Matai Akinmboni,USA,D,
882604,Bournemouth,Đorđe Petrović,Serbia,G,
913762,Bournemouth,Christos Mandas,Greece,G,
19314,Bournemouth,Fraser Forster,England,G,
555386,Aston Villa,Ollie Watkins,England,F,
610766,Aston Villa,Tammy Abraham,England,F,
851100,Aston Villa,Jadon Sancho,England,M,
955245,Aston Villa,Harvey Elliott,England,M,
948261,Aston Villa,Morgan Rogers,England,M,
867887,Aston Villa,Douglas Luiz,Brazil,M,
331737,Aston Villa,Youri Tielemans,Belgium,M,
783126,Aston Villa,Emiliano Buendía,Argentina,M,
808590,Aston Villa,Leon Bailey,Jamaica,M,
923973,Aston Villa,Amadou Onana,Belgium,M,
250223,Aston Villa,John McGinn,Scotland,M,
826204,Aston Villa,Boubacar Kamara,France,M,
98435,Aston Villa,Ross Barkley,England,M,
1631879,Aston Villa,Alysson,Brazil,M,
1089388,Aston Villa,Lamare Bogarde,Netherlands,M,
833956,Aston Villa,Matty Cash,Poland,D,
143334,Aston Villa,Victor Lindelöf,Sweden,D,
976263,Aston Villa,Ian Maatsen,Netherlands,D,
96538,Aston Villa,Lucas Digne,France,D,
864169,Aston Villa,Pau Torres,Spain,D,
827679,Aston Villa,Ezri Konsa,England,D,
303638,Aston Villa,Tyrone Mings,England,D,
1457536,Aston Villa,Andrés García,Spain,D,
158263,Aston Villa,Emiliano Martínez,Argentina,G,
100390,Aston Villa,Marco Bizot,Netherlands,G,
1138445,Aston Villa,James Wright,England,G,
981619,Nottingham Forest,Igor Jesus,Brazil,F,
50480,Nottingham Forest,Chris Wood,New Zealand,F,
962364,Nottingham Forest,Lorenzo Lucca,Italy,F,
359664,Nottingham Forest,Taiwo Awoniyi,Nigeria,F,
1003334,Nottingham Forest,James McAtee,England,M,
843754,Nottingham Forest,Ibrahim Sangaré,Côte d'Ivoire,M,
867442,Nottingham Forest,Callum Hudson Odoi,England,M,
994546,Nottingham Forest,Elliot Anderson,England,M,
865912,Nottingham Forest,Morgan Gibbs-White,England,M,
944327,Nottingham Forest,Dan Ndoye,Switzerland,M,
1090963,Nottingham Forest,Omari Hutchinson,England,M,
871765,Nottingham Forest,Nicolás Domínguez,Argentina,M,
963298,Nottingham Forest,Dilane Bakwa,France,M,
846252,Nottingham Forest,Ryan Yates,England,M,
1400429,Nottingham Forest,Jimmy Sinclair,England,M,
1566888,Nottingham Forest,Archie Whitehall,England,M,
1199282,Nottingham Forest,Murillo,Brazil,D,
836168,Nottingham Forest,Nikola Milenković,Serbia,D,
800417,Nottingham Forest,Ola Aina,Nigeria,D,
927356,Nottingham Forest,Neco Williams,Wales,D,
1170722,Nottingham Forest,Jair,Brazil,D,
1010220,Nottingham Forest,Nicolò Savona,Italy,D,
985086,Nottingham Forest,Morato,Brazil,D,
139310,Nottingham Forest,Willy Boly,Côte d'Ivoire,D,
1418646,Nottingham Forest,Eric da Silva Moreira,Germany,D,
979144,Nottingham Forest,Luca Netz,Germany,D,
1390490,Nottingham Forest,Zach Abbott,England,D,
1141741,Nottingham Forest,Justin Hanks,Wales,D,
125274,Nottingham Forest,Stefan Ortega,Germany,G,
840103,Nottingham Forest,John Victor,Brazil,G,
78152,Nottingham Forest,Matz Sels,Belgium,G,
227946,Nottingham Forest,Angus Gunn,Scotland,G,
1412863,Nottingham Forest,Keehan Willows,England,G,
786186,Wolverhampton,Hwang Hee-chan,South Korea,F,
987734,Wolverhampton,Tolu Arokodare,Nigeria,F,
1899647,Wolverhampton,Mateus Mané,Portugal,F,
1402232,Wolverhampton,Enso González,Paraguay,F,
361352,Wolverhampton,Adam Armstrong,England,F,
1166679,Wolverhampton,Nathan Fraser,Ireland,F,
845273,Wolverhampton,Jean-Ricner Bellegarde,Haiti,M,
1015267,Wolverhampton,João Gomes,Brazil,M,
1035996,Wolverhampton,André,Brazil,M,
867441,Wolverhampton,Angel Gomes,England,M,
1096210,Wolverhampton,Jackson Tchatchoua,Cameroon,M,
1006073,Wolverhampton,Rodrigo Gomes,Portugal,M,
1445189,Wolverhampton,Tom Edozie,England,M,
1597270,Wolverhampton,Pedro Lima,Brazil,D,
1014835,Wolverhampton,Yerson Mosquera,Colombia,D,
856250,Wolverhampton,Ladislav Krejčí,Czechia,D,
143047,Wolverhampton,Matt Doherty,Ireland,D,
846308,Wolverhampton,Santiago Bueno,Uruguay,D,
1013928,Wolverhampton,Hugo Bueno,Spain,D,
973418,Wolverhampton,Toti Gomes,Portugal,D,
1031283,Wolverhampton,David Møller Wolfe,Norway,D,
252669,Wolverhampton,José Sá,Portugal,G,
98427,Wolverhampton,Sam Johnstone,England,G,
101367,Wolverhampton,Daniel Bentley,England,G,
1899638,Wolverhampton,Josh Gracey,Northern Ireland,G,
822470,Fulham,Samuel Chukwueze,Nigeria,F,
192442,Fulham,Raúl Jiménez,Mexico,F,
1015256,Fulham,Rodrigo Muniz,Brazil,F,
1503757,Fulham,Jonah Kusi-Asare,Sweden,F,
1065216,Fulham,Oscar Bobb,Norway,M,
352770,Fulham,Alex Iwobi,Nigeria,M,
867445,Fulham,Emile Smith Rowe,England,M,
1112879,Fulham,Kevin,Brazil,M,
355528,Fulham,Harry Wilson,Wales,M,
793167,Fulham,Sander Berge,Norway,M,
371222,Fulham,Saša Lukić,Serbia,M,
1546231,Fulham,Joshua King,England,M,
82566,Fulham,Tom Cairney,Scotland,M,
365802,Fulham,Harrison Reed,England,M,
861972,Fulham,Calvin Bassey,Nigeria,D,
825719,Fulham,Issa Diop,Morocco,D,
803174,Fulham,Antonee Robinson,USA,D,
362682,Fulham,Joachim Andersen,Denmark,D,
329417,Fulham,Timothy Castagne,Belgium,D,
836698,Fulham,Ryan Sessegnon,England,D,
190877,Fulham,Kenny Tete,Netherlands,D,
868715,Fulham,Jorge Cuenca,Spain,D,
103335,Fulham,Bernd Leno,Germany,G,
123207,Fulham,Benjamin Lecomte,France,G,
839956,Manchester City,Erling Haaland,Norway,F,
873554,Manchester City,Omar Marmoush,Egypt,F,
859765,Manchester City,Phil Foden,England,M,
934354,Manchester City,Antoine Semenyo,Ghana,M,
979128,Manchester City,Rayan Cherki,France,M,
827606,Manchester City,Rodri,Spain,M,
934386,Manchester City,Jérémy Doku,Belgium,M,
331209,Manchester City,Bernardo Silva,Portugal,M,
1046795,Manchester City,Savinho,Brazil,M,
893549,Manchester City,Tijjani Reijnders,Netherlands,M,
136710,Manchester City,Mateo Kovačić,Croatia,M,
954056,Manchester City,Nico González,Spain,M,
1146511,Manchester City,Sverre Nypan,Norway,M,
1194333,Manchester City,Abdukodir Khusanov,Uzbekistan,D,
964994,Manchester City,Joško Gvardiol,Croatia,D,
931278,Manchester City,Rayan Aït-Nouri,Algeria,D,
318941,Manchester City,Rúben Dias,Portugal,D,
1142703,Manchester City,Nico O'Reilly,England,D,
877994,Manchester City,Marc Guéhi,England,D,
152077,Manchester City,John Stones,England,D,
149663,Manchester City,Nathan Aké,Netherlands,D,
945122,Manchester City,Matheus Nunes,Portugal,D,
1136731,Manchester City,Rico Lewis,England,D,
1168513,Manchester City,Max Alleyne,England,D,
824509,Manchester City,Gianluigi Donnarumma,Italy,G,
980643,Manchester City,James Trafford,England,G,
257993,Manchester City,Marcus Bettinelli,England,G,
286165,West Ham United,Adama Traoré,Spain,F,
877013,West Ham United,Valentín Castellanos,Argentina,F,
113956,West Ham United,Callum Wilson,England,F,
1101174,West Ham United,Pablo Felipe,Brazil,F,
552884,West Ham United,Jarrod Bowen,England,M,
917005,West Ham United,Crysencio Summerville,Netherlands,M,
1142562,West Ham United,Mateus Fernandes,Portugal,M,
799041,West Ham United,Tomáš Souček,Czechia,M,
1190165,West Ham United,Keiber Lamadrid,Venezuela,M,
1170560,West Ham United,Soungoutou Magassa,France,M,
1523623,West Ham United,Mohamadou Kanté,France,M,
1089582,West Ham United,Freddie Potts,England,M,
863653,West Ham United,Aaron Wan-Bissaka,DR Congo,D,
1471764,West Ham United,El Hadji Malick Diouf,Senegal,D,
827243,West Ham United,Axel Disasi,France,D,
829022,West Ham United,Konstantinos Mavropanos,Greece,D,
945217,West Ham United,Jean-Clair Todibo,France,D,
