joueur,club_depart,club_arrivee,montant,date_transfert,type_transfert
Elias Sørensen,Vålerenga,PEC Zwolle,0,2026-06-19T14:21:58Z,contract
Charles Vanhoutte,Nice,Feyenoord,5500000,2026-06-19T14:15:37Z,contract
Pablo Maffeo,Mallorca,Olympiacos,3000000,2026-06-19T13:41:35Z,contract
Plamen Andreev,Feyenoord,Debrecen,0,2026-06-19T13:01:55Z,contract
Giacomo Faticanti,Lecce,Juventus,0,2026-06-19T12:47:22Z,contract
Marco Komenda,Holstein Kiel,Arka Gdynia,0,2026-06-19T12:44:31Z,contract
Krisztián Hegyi,West Ham,Sparta Prague,0,2026-06-19T12:43:54Z,contract
Daouda Guindo,Brest,Reims,0,2026-06-19T11:17:43Z,contract
Friday Etim,Fredericia,FC Midtjylland,0,2026-06-19T11:05:40Z,contract
Friday Etim,FC Midtjylland,Fredericia,0,2026-06-19T11:05:08Z,contract
Marvin Çuni,Rubin,NK Olimpija,0,2026-06-19T10:11:16Z,on loan
Suf Podgoreanu,Maccabi Haifa,Kortrijk,0,2026-06-19T10:00:10Z,contract
Lazare Amani,Kifisia FC,Cercle Brugge,300000,2026-06-19T09:57:06Z,contract
Josué Vergara,Auda,Gent,2500000,2026-06-19T09:52:17Z,contract
Alberto Moreno,Como,Free agent,0,2026-06-19T09:47:57Z,contract
Denis Makarov,Kayserispor,Free agent,0,2026-06-19T09:44:03Z,contract
Noah Solheid,RFC Seraing,Sporting Charleroi,0,2026-06-19T09:42:47Z,contract
Robin Denuit,Sporting Charleroi,Lokeren,0,2026-06-19T09:36:52Z,contract
Jules Gaudin,Sporting Charleroi,Laval,0,2026-06-19T09:32:43Z,contract
Fahem Benaïssa-Yahia,Casa Pia AC,Mantova,0,2026-06-19T09:25:45Z,contract
